t_s,imu,report,x,y,z,w
4.702920,0x4B,gyro,-0.003906,0.009766,0.000000,
4.703558,0x4A,gyro,0.003906,0.005859,0.000000,
4.705321,0x4B,quat,0.029358,-0.749207,-0.023926,0.661255
4.706407,0x4A,quat,-0.176514,-0.716675,0.147400,0.658447
4.707069,0x4B,accel,9.351562,0.679688,-1.167969,
4.707717,0x4A,accel,8.359375,-4.160156,-0.871094,
4.708866,0x4B,gyro,-0.001953,0.007812,0.000000,
4.708871,0x4B,quat,0.029358,-0.749207,-0.023926,0.661255
4.709493,0x4A,accel,8.359375,-4.160156,-0.871094,
4.710115,0x4B,accel,9.390625,0.718750,-1.207031,
4.711500,0x4A,gyro,0.003906,0.005859,0.001953,
4.711504,0x4A,quat,-0.176514,-0.716614,0.147461,0.658447
4.712114,0x4B,gyro,-0.005859,0.007812,-0.003906,
4.712739,0x4A,accel,8.359375,-4.160156,-0.871094,
4.714395,0x4B,quat,0.029358,-0.749207,-0.023926,0.661255
4.715982,0x4A,gyro,0.007812,0.005859,0.000000,
4.715986,0x4A,quat,-0.176514,-0.716614,0.147461,0.658447
4.716608,0x4B,accel,9.316406,0.718750,-1.167969,
4.717244,0x4A,accel,8.359375,-4.121094,-0.832031,
4.718694,0x4B,accel,9.355469,0.718750,-1.167969,
4.718701,0x4B,gyro,-0.001953,0.007812,0.000000,
4.718708,0x4B,quat,0.029358,-0.749207,-0.023926,0.661255
4.719347,0x4A,gyro,0.000000,0.005859,-0.001953,
4.719995,0x4B,accel,9.355469,0.718750,-1.246094,
4.722000,0x4A,quat,-0.176514,-0.716614,0.147461,0.658447
4.722007,0x4A,accel,8.359375,-4.160156,-0.832031,
4.722649,0x4B,gyro,-0.003906,0.007812,-0.001953,
4.723292,0x4A,gyro,-0.003906,0.005859,-0.001953,
4.724636,0x4B,quat,0.029358,-0.749207,-0.023926,0.661255
4.725930,0x4A,quat,-0.176514,-0.716614,0.147461,0.658447
4.726561,0x4B,accel,9.316406,0.718750,-1.207031,
4.727175,0x4A,accel,8.359375,-4.160156,-0.832031,
4.728312,0x4B,gyro,-0.001953,0.007812,-0.001953,
4.728316,0x4B,quat,0.029358,-0.749268,-0.023926,0.661194
4.728936,0x4A,accel,8.359375,-4.160156,-0.871094,
4.730011,0x4B,accel,9.390625,0.753906,-1.207031,
4.732177,0x4A,gyro,0.000000,0.003906,0.005859,
4.732181,0x4A,quat,-0.176514,-0.716614,0.147461,0.658447
4.732793,0x4B,accel,9.355469,0.718750,-1.207031,
4.733423,0x4A,accel,8.359375,-4.160156,-0.871094,
4.734603,0x4B,gyro,-0.005859,0.009766,0.003906,
4.734611,0x4B,quat,0.029297,-0.749268,-0.023926,0.661194
4.736699,0x4A,gyro,-0.001953,0.003906,-0.003906,
4.736707,0x4A,quat,-0.176514,-0.716614,0.147461,0.658447
4.737459,0x4B,accel,9.355469,0.753906,-1.246094,
4.738189,0x4A,accel,8.359375,-4.160156,-0.871094,
4.739959,0x4B,gyro,-0.003906,0.007812,0.000000,
4.739988,0x4B,quat,0.029297,-0.749268,-0.023926,0.661194
4.741999,0x4A,gyro,0.007812,0.003906,-0.003906,
4.742008,0x4A,quat,-0.176514,-0.716614,0.147461,0.658508
4.742653,0x4B,accel,9.394531,0.679688,-1.246094,
4.743280,0x4A,accel,8.320312,-4.199219,-0.832031,
4.744449,0x4B,gyro,-0.003906,0.009766,0.001953,
4.744453,0x4B,quat,0.029297,-0.749268,-0.023926,0.661194
4.746084,0x4A,gyro,0.001953,0.007812,0.001953,
4.746089,0x4A,quat,-0.176514,-0.716553,0.147461,0.658508
4.746716,0x4B,accel,9.394531,0.679688,-1.207031,
4.747345,0x4A,accel,8.363281,-4.199219,-0.871094,
4.748493,0x4B,gyro,-0.005859,0.009766,-0.001953,
4.748498,0x4B,quat,0.029297,-0.749268,-0.023926,0.661194
4.749122,0x4A,accel,8.398438,-4.160156,-0.832031,
4.749968,0x4B,accel,9.351562,0.679688,-1.207031,
4.752197,0x4A,gyro,0.003906,0.009766,0.001953,
4.752204,0x4A,quat,-0.176514,-0.716553,0.147461,0.658508
4.752866,0x4B,accel,9.355469,0.718750,-1.207031,
4.753513,0x4A,accel,8.363281,-4.199219,-0.871094,
4.754794,0x4B,gyro,0.003906,0.011719,-0.001953,
4.774945,0x4B,quat,0.029297,-0.749268,-0.023926,0.661194
4.777114,0x4A,gyro,0.007812,0.003906,-0.009766,
4.777122,0x4A,quat,-0.176514,-0.716553,0.147461,0.658508
4.777766,0x4B,accel,9.355469,0.753906,-1.207031,
4.782472,0x4A,accel,8.359375,-4.160156,-0.832031,
4.782477,0x4A,gyro,-0.001953,0.003906,0.001953,
4.782483,0x4A,quat,-0.176514,-0.716553,0.147461,0.658508
4.782558,0x4A,accel,8.359375,-4.160156,-0.871094,
4.782562,0x4A,gyro,0.007812,0.007812,0.000000,
4.782566,0x4A,quat,-0.176514,-0.716553,0.147461,0.658508
4.782570,0x4A,accel,8.359375,-4.160156,-0.832031,
4.782573,0x4A,gyro,0.003906,0.005859,0.003906,
4.782582,0x4A,quat,-0.176514,-0.716492,0.147522,0.658569
4.782586,0x4A,accel,8.359375,-4.160156,-0.871094,
4.782590,0x4A,accel,8.398438,-4.160156,-0.832031,
4.782593,0x4A,gyro,0.005859,0.005859,-0.001953,
4.782597,0x4A,quat,-0.176514,-0.716492,0.147522,0.658569
4.782601,0x4A,accel,8.363281,-4.199219,-0.832031,
4.788119,0x4B,gyro,-0.001953,0.009766,0.001953,
4.788128,0x4B,quat,0.029297,-0.749268,-0.023926,0.661194
4.788136,0x4B,accel,9.355469,0.753906,-1.167969,
4.788142,0x4B,gyro,-0.001953,0.007812,0.003906,
4.788150,0x4B,quat,0.029297,-0.749268,-0.023926,0.661194
4.788157,0x4B,accel,9.355469,0.718750,-1.167969,
4.788163,0x4B,gyro,-0.003906,0.007812,0.001953,
4.788171,0x4B,quat,0.029297,-0.749268,-0.023926,0.661194
4.788177,0x4B,accel,9.355469,0.753906,-1.167969,
4.788184,0x4B,accel,9.316406,0.718750,-1.128906,
4.788190,0x4B,gyro,0.001953,0.013672,0.000000,
4.788199,0x4B,quat,0.029297,-0.749268,-0.023926,0.661194
4.788206,0x4B,accel,9.316406,0.718750,-1.167969,
4.788212,0x4B,gyro,-0.003906,0.009766,0.000000,
4.788220,0x4B,quat,0.029297,-0.749268,-0.023926,0.661194
4.790006,0x4A,gyro,0.001953,0.001953,0.003906,
4.790015,0x4A,quat,-0.176514,-0.716492,0.147522,0.658569
4.790021,0x4A,accel,8.359375,-4.160156,-0.832031,
